company_name,company_domain,ceo_name,founder_name,contact_email,linkedin_contact,number_of_employees,share_price_current,share_price_5y_ago
Jacobs-Bond,Information Technology,Lauren Harris,Jessica Smith,karl45@morris-simpson.com,https://www.linkedin.com/in/colleenschaefer,606,493.89,711.46
Berry-Hawkins,Retail,Andrew Burgess,Jeffrey Nelson,ephillips@clark-robbins.net,https://www.linkedin.com/in/washingtonsamuel,8020,85.95,81.87
Castro PLC,Automotive,Phyllis Wilson,Ashley Wright,weaverlogan@duncan.com,https://www.linkedin.com/in/robertgutierrez,9280,331.72,244.75
"Holmes, Mora and Wilson",Information Technology,Brandy Grant,Christina Glover,jasonsullivan@tate-smith.com,https://www.linkedin.com/in/nathan39,7328,263.61,323.83
"Cardenas, Lewis and Jackson",Artificial Intelligence,Clayton Vasquez,Jonathan Gutierrez,fernandezrichard@mcguire-marshall.com,https://www.linkedin.com/in/laurenguerrero,1650,293.77,163.66
Garcia and Sons,Manufacturing,Joanna Robinson,William Parker,april79@cox.org,https://www.linkedin.com/in/davidjones,9888,144.48,166.4
"Chase, Mills and Lee",Finance,James Garcia,Donna Gonzalez,christopher79@smith-patel.com,https://www.linkedin.com/in/michelle28,7112,269.1,237.54
"Bell, Moreno and Castro",Manufacturing,Betty Rose,Miguel Haynes,keithlee@griffin-henderson.biz,https://www.linkedin.com/in/lponce,7048,299.18,437.0
Owens Inc,Finance,Dr. Chelsea King,William Taylor,barnetttaylor@tucker.com,https://www.linkedin.com/in/garciasabrina,4190,294.37,347.76
Pearson PLC,Manufacturing,James Smith,James Parker,farrelledward@hall-butler.com,https://www.linkedin.com/in/john71,4862,24.01,30.44
Villegas Group,Artificial Intelligence,Wyatt Whitney,Maria Davis,richardcarter@miller.com,https://www.linkedin.com/in/ronaldgonzales,4269,132.99,192.99
Harris Inc,Administration,Walter King,Cheryl Pope,cadams@martinez.biz,https://www.linkedin.com/in/philipfoster,5107,162.78,177.17
"Pierce, Jenkins and Joyce",Information Technology,Brent Hanson,Gail Costa,ygarcia@ferguson.net,https://www.linkedin.com/in/ybraun,9158,273.46,216.48
Wright Inc,Administration,Teresa Macias,Benjamin Blackwell,jeremiahsmith@york-may.net,https://www.linkedin.com/in/terrimiller,2343,434.2,465.68
"Hill, Johnson and Lamb",Education,Sara Cuevas,Michelle Garcia,dixonhaley@chapman.info,https://www.linkedin.com/in/monicaterry,6240,262.88,191.07
"Parks, Porter and Davis",Healthcare,Stephanie Owens,Marissa Mcclain,lisaduncan@ramirez.com,https://www.linkedin.com/in/harperjamie,5147,211.49,152.35
Baker Group,Automotive,Christina Nielsen,David Mccullough,courtney47@kennedy-spencer.com,https://www.linkedin.com/in/ycarey,7098,209.71,118.09
"Gray, Nelson and Landry",Manufacturing,Sharon White,Jeremy Roman,paulahendrix@mcguire.info,https://www.linkedin.com/in/kenneth89,664,391.44,422.15
Key-Osborn,Education,Jillian Snyder,Tina Johnson,sherri50@baker.com,https://www.linkedin.com/in/robert74,3132,407.12,604.92
Bailey-Rush,Automotive,Donna Smith,Stephen Holt,lambertjudith@lloyd.net,https://www.linkedin.com/in/shortjames,3686,9.81,12.69
Jones and Sons,Finance,Ms. Sylvia Cole,James Rubio,daniellewalker@welch-callahan.info,https://www.linkedin.com/in/patricia84,1372,315.04,339.9
"Nguyen, Dudley and Martin",Education,Javier Stephens,Patricia Landry,ashleydurham@crane-clayton.com,https://www.linkedin.com/in/kenneth18,3632,23.72,23.09
Dillon PLC,Finance,Jamie Rasmussen,Nicholas Duncan,jonathan94@long.com,https://www.linkedin.com/in/jonathanpollard,452,367.22,329.46
Montgomery Inc,Education,Allison Harper,Katelyn Walker,bhaynes@wallace.com,https://www.linkedin.com/in/juan96,2480,334.01,479.63
Petersen and Sons,Retail,David Perez,Willie Duncan,msmith@campbell-gonzalez.com,https://www.linkedin.com/in/hford,7751,276.91,352.84
Riley PLC,Manufacturing,Patricia Scott,Jill Sherman,cameronsanders@morales.com,https://www.linkedin.com/in/scotterin,6876,482.51,503.83
Evans and Sons,Healthcare,Krystal Murphy,Jessica Landry,jessicalee@marshall.biz,https://www.linkedin.com/in/cfisher,2938,31.04,26.7
Potter Inc,Retail,Marilyn Webb,Kim Davis,scottsergio@cohen.org,https://www.linkedin.com/in/tbrown,6030,244.76,275.64
Brooks-Tyler,Information Technology,James Baldwin,Stephen Perez,ahuynh@chang.info,https://www.linkedin.com/in/watkinskimberly,7519,243.55,337.85
Schneider and Sons,Finance,Jeff Jones,Kristen Perez,kempsharon@ware-harris.net,https://www.linkedin.com/in/adam81,5102,203.38,137.36
Robertson Inc,Artificial Intelligence,Carlos Kim PhD,Larry Wood,davischristopher@long.com,https://www.linkedin.com/in/ericturner,8807,466.15,333.16
"Pierce, Salazar and Brown",Education,Sara Zimmerman,Amber Davis,pjackson@lewis-reed.com,https://www.linkedin.com/in/tony36,7072,200.1,193.21
"Robbins, Gay and Robinson",Automotive,Krystal Wade,Miranda Burns,rhoward@gutierrez.org,https://www.linkedin.com/in/tjenkins,7279,491.33,327.3
"Webster, Patterson and Figueroa",Healthcare,Timothy Davis,Megan Roy,christineblack@lloyd-gordon.com,https://www.linkedin.com/in/collinsjill,5360,406.89,405.04
Myers PLC,Human Resources,Danielle Kelley,Jordan Johnson,paul70@christian.net,https://www.linkedin.com/in/eric59,4752,201.48,206.47
Larsen and Sons,Automotive,Michael Shaffer,Rhonda Ingram,natalieclark@wright.org,https://www.linkedin.com/in/gwilliams,7086,418.85,446.86
"Davis, Giles and Jones",Finance,Victoria Harrison,Lauren Fisher,stacierosales@miller.biz,https://www.linkedin.com/in/sonya26,6270,332.41,282.31
Anderson-Turner,Human Resources,Sheila Robertson,Joel Flores,gregory22@carey.com,https://www.linkedin.com/in/bdavis,3787,12.76,17.17
Jones and Sons,Manufacturing,Meredith Perkins,Kristen Harrison,jodi73@hutchinson-caldwell.net,https://www.linkedin.com/in/danielstephens,7219,52.24,71.18
Holt PLC,Manufacturing,Mrs. Kristin Nunez,Jose James,audreyjenkins@smith.com,https://www.linkedin.com/in/williamsjulie,4327,436.7,354.82
Reeves and Sons,Information Technology,Jennifer White,Patrick Hughes,jenniferthompson@green-lopez.com,https://www.linkedin.com/in/millercrystal,2746,423.95,283.77
Moran LLC,Education,Donna Flores,Megan Arnold,billyward@maldonado.com,https://www.linkedin.com/in/coreybailey,6342,258.8,300.82
"Decker, Nunez and Sanchez",Automotive,Mark Cameron,Douglas Walters,mary74@chen.org,https://www.linkedin.com/in/tcoleman,2952,484.54,604.29
Thompson-Wood,Information Technology,Shannon Garcia,Raymond Holmes,xramos@wilson.com,https://www.linkedin.com/in/pboyd,6855,467.91,239.67
"Young, Callahan and Lee",Artificial Intelligence,Kenneth Harris,David Jones,valeriewilliams@nguyen.net,https://www.linkedin.com/in/humphreyryan,7555,421.29,593.85
Collier-Ward,Information Technology,Max Mcintosh DDS,Nancy White,peter13@evans.com,https://www.linkedin.com/in/roblesmindy,2804,235.5,235.25
"Morris, Taylor and Gonzalez",Manufacturing,Bruce Vang,Julie Sanchez,matthewcooley@flynn-zimmerman.org,https://www.linkedin.com/in/alexandria23,7273,252.4,214.53
Mills-Reid,Healthcare,Allen Robinson Jr.,Dustin Miller,ythompson@harris.com,https://www.linkedin.com/in/jason69,2493,441.7,305.94
"Shannon, Brown and Taylor",Education,Kenneth Marshall,Brenda Stewart,amywalsh@richardson.com,https://www.linkedin.com/in/hooperrobert,6231,299.53,429.68
"Miller, Newton and Carter",Automotive,Marilyn King,Matthew Simmons,twilliams@castillo.com,https://www.linkedin.com/in/lewisroy,5965,419.44,504.24
"Cooper, Rubio and Scott",Human Resources,Veronica Johnson,Jonathan Kelly,leemcpherson@matthews.net,https://www.linkedin.com/in/duncandenise,5174,14.41,13.91
Olson-Lopez,Administration,Samantha Miller,Andrew Huerta,stephaniewheeler@sexton.org,https://www.linkedin.com/in/qmccoy,9242,49.22,62.94
Short Inc,Manufacturing,Michael Stanton,Adrian Brown,sabrina62@garcia-mcgee.info,https://www.linkedin.com/in/lwright,9402,341.34,470.27
Torres and Sons,Healthcare,Michelle James,Jacob Warren,zcoleman@clay-chung.net,https://www.linkedin.com/in/johnstonlori,5207,359.67,489.79
"Hayes, Morgan and Rogers",Automotive,Brenda Hall,Dr. Kim Jones,imedina@roman.com,https://www.linkedin.com/in/mayteresa,13,466.45,458.49
Rivera PLC,Retail,Henry Burnett,Derrick Hutchinson,michael62@brooks.com,https://www.linkedin.com/in/brianmorrison,5802,20.62,27.76
Olson-Martinez,Artificial Intelligence,Madison Palmer,Emily Pena,william67@cooper-young.com,https://www.linkedin.com/in/michael92,235,272.22,367.89
Parsons PLC,Human Resources,James Jones,John Chan,morrowkristie@gonzalez.biz,https://www.linkedin.com/in/cfox,7140,227.39,216.41
"Gonzales, Hill and Lawson",Automotive,Colin Johnson,Benjamin Matthews,jeffreywilson@carlson.com,https://www.linkedin.com/in/dukegary,9296,416.31,569.58
Matthews Group,Retail,Andrew Brooks,Veronica Hanson,cooperryan@whitehead-vega.org,https://www.linkedin.com/in/ashleylogan,838,475.87,680.43
Herman LLC,Finance,James Conway,Jose Glover,isaiahwashington@goodwin.com,https://www.linkedin.com/in/brittanythomas,2038,326.14,314.54
Quinn-Stafford,Retail,Anita Elliott,Robert Conley,diana25@freeman-rogers.biz,https://www.linkedin.com/in/michael50,1174,257.5,291.3
"Skinner, Hayes and Gibson",Retail,Holly Pruitt,Mark Barton,patricia75@montes.net,https://www.linkedin.com/in/smithbarbara,4334,5.29,5.53
Perry-Jordan,Manufacturing,Anthony Nguyen,Brian Larson,ycarlson@stokes.com,https://www.linkedin.com/in/sanchezsharon,6739,319.49,218.11
Wright-Velez,Healthcare,Jessica Sharp,Jennifer Doyle,jefferyharrington@russell.com,https://www.linkedin.com/in/hannah34,7472,143.77,120.99
Davis and Sons,Manufacturing,Manuel Klein,Mckenzie Hart,timothy36@clarke.net,https://www.linkedin.com/in/brianhansen,1926,79.61,104.01
Lawson-Stevenson,Manufacturing,Zachary Carter,Tracy Collins,nmartin@leonard.com,https://www.linkedin.com/in/coxkathryn,6149,343.39,507.61
"Fuentes, Fleming and Bryan",Administration,Timothy Kennedy,Nancy Wright,waguilar@schmidt.com,https://www.linkedin.com/in/harrislawrence,9765,169.3,131.22
"Holland, Williams and Oliver",Retail,Jeffrey Robinson,Jessica Roberts,matthew50@parker.org,https://www.linkedin.com/in/richardgomez,5060,200.56,195.05
Long Group,Artificial Intelligence,Laura Johnson,Sandra Hall,brichmond@peterson-jones.com,https://www.linkedin.com/in/paultapia,3407,194.93,172.5
"White, Payne and Hoffman",Education,Elizabeth Morgan,Melissa Dixon,chambersjaclyn@jenkins.com,https://www.linkedin.com/in/parkerrichard,5051,135.82,152.2
"Torres, Perry and Crane",Information Technology,Theresa Erickson,Stephanie Jones,michael09@tapia.com,https://www.linkedin.com/in/ohoward,4309,429.75,543.43
Mccullough LLC,Education,Madeline Thomas,Donna Griffin MD,brittanymiller@austin-mcintyre.com,https://www.linkedin.com/in/kevinshepard,7697,384.9,440.66
Gardner LLC,Automotive,Jacob Morris,Jennifer Woods,heidimoore@garza.com,https://www.linkedin.com/in/mullinslinda,8333,189.48,280.31
Williams-Kramer,Manufacturing,Suzanne Brandt,Dr. Douglas Gonzalez PhD,jennifernewton@turner.com,https://www.linkedin.com/in/masonjennifer,6908,283.06,358.61
Jimenez-Le,Manufacturing,Jacqueline Kennedy,Danny Harrison,nancysingleton@wilkins-maddox.com,https://www.linkedin.com/in/kenneth56,776,416.43,453.88
"Chen, Hale and Gonzales",Automotive,Richard Hoffman,Jason Rangel,jeffrey48@clark.com,https://www.linkedin.com/in/kochgabriel,9667,258.72,297.69
Villarreal-Frey,Finance,Anthony Payne,Jill Dickson,smithbrian@williams.biz,https://www.linkedin.com/in/kimberlybryan,6591,9.18,11.02
"Hernandez, Ellis and Garcia",Retail,Patricia Taylor,Bob Campos,crystal11@freeman.com,https://www.linkedin.com/in/shannon41,1398,84.47,113.52
Duncan PLC,Artificial Intelligence,Carrie Buck,Jason Prince,curtiscrane@ramirez.net,https://www.linkedin.com/in/bauermark,7406,169.93,126.28
Walsh Inc,Information Technology,Dawn Rivers,Danielle Humphrey,justinwallace@sandoval.com,https://www.linkedin.com/in/adrian06,4769,444.35,591.76
Brady Inc,Automotive,Sharon Mclean,Jennifer Briggs,kyleaguilar@gomez-hancock.com,https://www.linkedin.com/in/bmay,9939,284.73,400.3
"Mercado, Peterson and Potter",Human Resources,Amanda Walker,David Wilkins,millerdeborah@walters-lloyd.info,https://www.linkedin.com/in/keyjonathan,7586,452.78,476.64
Thornton-Perry,Manufacturing,Grant Douglas,Marie Crawford,gravesguy@anderson-alvarez.com,https://www.linkedin.com/in/foleysarah,5508,289.78,424.55
Gonzales-Nguyen,Finance,Katherine Morales,James Gordon,april01@thompson.org,https://www.linkedin.com/in/gilmoreerin,9252,451.87,330.78
Allison PLC,Human Resources,Marcus Vasquez,Ernest Trevino,nicholasberg@yoder.com,https://www.linkedin.com/in/nathan90,7001,226.15,293.76
Moore-Meadows,Healthcare,Frances Duran,Jeremiah Rubio,edwin14@kidd.com,https://www.linkedin.com/in/eric88,8498,455.79,417.19
Nelson-Smith,Manufacturing,Zachary Wilson,Bryan Cole,katherine93@clark.org,https://www.linkedin.com/in/williamsrachel,6731,382.66,472.45
Thompson-Schmidt,Finance,John Jones,Kristen Sutton,kelly52@dunlap.org,https://www.linkedin.com/in/andrea83,2883,80.78,55.76
Stevens Inc,Finance,Gloria Rodriguez,Cheyenne Lawrence,jacksonnicholas@harper.info,https://www.linkedin.com/in/nmorgan,9837,57.12,72.67
Mcdaniel and Sons,Human Resources,Amanda Caldwell,Helen Mccoy,phess@roberts.com,https://www.linkedin.com/in/lisa04,9431,98.46,58.43
"Alvarez, Johnson and Tucker",Artificial Intelligence,Stephanie Jackson,Christina Cole,devinrobinson@nguyen.com,https://www.linkedin.com/in/millersamantha,6471,384.63,566.93
Castillo-Harrison,Retail,Ryan Olson,Nancy Ryan,alishalong@whitney.com,https://www.linkedin.com/in/leetroy,8492,327.34,344.49
King LLC,Manufacturing,Dr. Diana Hunter,John Reese,fordrobert@myers.info,https://www.linkedin.com/in/alexander37,6497,76.18,60.12
"Ross, Perry and Martinez",Information Technology,David Lewis,Shawn Roberson,mpowell@gomez.com,https://www.linkedin.com/in/shannonschwartz,2913,224.71,167.75
Evans-Harrington,Healthcare,Doris Robinson,Victor Wilkinson,jerryharris@moore.net,https://www.linkedin.com/in/nathanlopez,6195,405.91,263.75
Marshall Inc,Manufacturing,Andrew Ortega,Jose Lopez,laurenroberts@chase.com,https://www.linkedin.com/in/frussell,2824,22.44,22.36
Higgins-Snyder,Healthcare,Joseph Daniels,David Pierce,jamesstephanie@graham-gonzalez.info,https://www.linkedin.com/in/coxmelissa,622,286.83,302.91
Rivera LLC,Automotive,Sandra Martinez,Michele Bradley,ucollins@sullivan.biz,https://www.linkedin.com/in/lisageorge,650,5.09,5.28
Barber and Sons,Administration,Sarah Johnson DDS,Kristy Boyd PhD,dawnmclean@orozco.com,https://www.linkedin.com/in/pamelabarnett,7582,123.46,86.32
Monroe PLC,Artificial Intelligence,Elijah Lambert,Sara Griffith,rwoods@robertson.com,https://www.linkedin.com/in/amycollins,5819,225.93,167.77
"Barnes, Harmon and Garcia",Finance,Henry Bradley,Joanne Stout,joseph23@davis.org,https://www.linkedin.com/in/heidibenson,7413,221.89,128.2
Lewis-Mcclure,Automotive,Amy Smith,Jennifer Castro,robert67@cole-novak.info,https://www.linkedin.com/in/taylorwilliam,8914,444.64,435.39
Rojas and Sons,Retail,Richard Fletcher,Christine Rich,cathyhinton@adkins-yoder.com,https://www.linkedin.com/in/michael14,162,486.21,286.74
"Rogers, Heath and Hansen",Healthcare,Joshua Myers,Nancy Jones,mathiscarol@gonzalez-robertson.info,https://www.linkedin.com/in/conradjesse,4984,48.49,51.77
"Jones, Garcia and Franco",Human Resources,Brian Scott,Rhonda Smith,kcruz@price-williams.com,https://www.linkedin.com/in/brian39,3221,475.49,545.68
Smith-Harris,Administration,Alison Thompson,Thomas Clay,robertramirez@jensen.org,https://www.linkedin.com/in/wisetina,2631,165.9,196.26
Smith-Castro,Education,Bradley Sanchez,Nicholas Sanford DDS,wrightnathaniel@vaughan.com,https://www.linkedin.com/in/framirez,5385,177.4,249.52
Miller-Colon,Education,Felicia Bright,Danielle Hicks,edwardyoung@cooper.com,https://www.linkedin.com/in/jacksonjanet,6612,410.42,586.04
Watkins Inc,Retail,Jennifer Smith,Ariel Cunningham,beverly96@sloan.com,https://www.linkedin.com/in/xlynch,4903,146.86,199.96
"Freeman, Walton and Schroeder",Information Technology,Rachel Hayes,Kelsey Larsen,ralphmyers@jackson.com,https://www.linkedin.com/in/qfleming,5903,64.26,72.34
"Acosta, Martinez and Lucero",Information Technology,Mark Santana,Matthew West,singram@hartman.biz,https://www.linkedin.com/in/harrisonbrittney,8264,127.05,172.34
Gray Inc,Artificial Intelligence,Alyssa Moore,Dennis Brown,jasonhall@hale.info,https://www.linkedin.com/in/vtaylor,604,317.28,208.58
Johnson-Reyes,Retail,Karen Sims,Jeffrey Glenn,mgardner@baker-page.com,https://www.linkedin.com/in/beckersuzanne,6126,62.9,51.79
Harper and Sons,Retail,Charles Byrd,Stephanie Elliott,asmith@kent-anderson.com,https://www.linkedin.com/in/framos,2436,128.09,107.83
Smith PLC,Education,Barbara Foster,Joyce Mcfarland,qhernandez@reilly.net,https://www.linkedin.com/in/vmiles,6053,183.33,132.75
Mccoy-Martin,Manufacturing,Steven Ross,Reginald Mendez,nicholasrobertson@mitchell-taylor.com,https://www.linkedin.com/in/karen83,1400,35.57,47.14
"Little, Morris and Tapia",Manufacturing,Michael Bauer,Alexandra Soto,xpreston@johnson.com,https://www.linkedin.com/in/michael36,7452,460.16,258.03
"Jordan, Hayes and Robinson",Education,Theresa Barry,James Joseph,samuelcastaneda@sutton.biz,https://www.linkedin.com/in/thomasrebecca,7093,324.05,376.64
Aguirre-Fleming,Human Resources,Curtis Zimmerman,Sarah Valdez,ravery@perez.info,https://www.linkedin.com/in/crussell,7261,246.69,256.53
"Barajas, Lee and Franklin",Information Technology,Eddie Johnson,Brian Bailey,lcooper@kim.info,https://www.linkedin.com/in/hmcdonald,6056,454.28,575.76
Allen-Evans,Retail,Nicole Grimes,Kathleen Dickson,daniel13@owens-hicks.info,https://www.linkedin.com/in/jennifer53,1940,435.17,481.64
"Burns, Henry and Kramer",Retail,Julie Brown,Christine Wise,shane61@acosta-higgins.com,https://www.linkedin.com/in/zorr,307,484.06,387.2
Taylor-Jackson,Healthcare,Alexis Liu,John Barnett,sandra65@martin-mueller.com,https://www.linkedin.com/in/lucasmorgan,504,269.41,285.96
Jenkins-Wheeler,Finance,Robin Jackson,Michael Miller,stacywallace@quinn.com,https://www.linkedin.com/in/carrollwendy,829,464.71,653.73
Carter-Atkins,Human Resources,Christine Smith,Catherine Edwards,vancestephanie@garcia-carter.com,https://www.linkedin.com/in/amanda39,8120,456.57,491.31
"Johnson, Wilson and Peterson",Retail,Cindy Martin,Hannah Ryan,matthewstanley@cochran-jones.info,https://www.linkedin.com/in/wellstheresa,9858,70.49,71.12
Lee-Fuentes,Healthcare,Michael Solis,Rachel Nguyen,barrysoto@morales.com,https://www.linkedin.com/in/maureen49,1830,151.65,217.38
"Frye, Wallace and Jackson",Education,Jasmine Richardson,Ashley Evans,sheilamiller@johnson-stewart.com,https://www.linkedin.com/in/anamorgan,491,26.64,16.85
Martinez-Bryant,Healthcare,Christopher Jacobs,Peggy Schneider,jennifer55@bell.biz,https://www.linkedin.com/in/xmorgan,6821,314.24,172.11
"Ball, Stafford and Gonzalez",Information Technology,Brenda Cox,Whitney Harper,lewisdavid@williams.biz,https://www.linkedin.com/in/jadeschroeder,2863,91.22,103.29
"Patel, Warren and Wheeler",Administration,Patrick Anderson,Elizabeth Rose,sanchezdenise@hamilton.com,https://www.linkedin.com/in/ritterjoshua,2686,318.13,443.95
"Odom, Lewis and Huber",Information Technology,Jason Richards,Brandon Hebert,fwelch@lin-chan.com,https://www.linkedin.com/in/bowenmiranda,3060,319.16,224.44
Cook Ltd,Artificial Intelligence,Michelle King,Sharon White,lindaallen@beard.net,https://www.linkedin.com/in/janewillis,8480,123.33,132.94
"Cooper, Hardin and Jensen",Manufacturing,Daniel Walker,John Myers,diane15@sims.com,https://www.linkedin.com/in/wbuck,6270,94.03,116.03
Vaughan Inc,Artificial Intelligence,Autumn Haney,Adam Poole,douglasmosley@wiggins.info,https://www.linkedin.com/in/jonestony,6643,371.9,188.16
Jenkins PLC,Healthcare,David Fitzgerald,James Gardner,sanderscourtney@taylor.info,https://www.linkedin.com/in/andrea49,4091,476.53,322.05
"Rodriguez, Kim and Evans",Automotive,Diane Dyer,Terry Carey,sandycarroll@mcmillan-jacobs.com,https://www.linkedin.com/in/travisnovak,3158,58.54,34.43
"Hanna, Moses and Cobb",Administration,Chad Rowland,Karen Wilson,jlee@brooks-ayers.com,https://www.linkedin.com/in/hermanlouis,2747,316.0,456.18
Barrera-Ward,Education,Travis Dixon,Christy Williams,paularios@villanueva.com,https://www.linkedin.com/in/ggonzalez,2446,49.69,54.19
Thomas Group,Human Resources,Kyle Martinez,Tina Bailey,danderson@wilson-chandler.com,https://www.linkedin.com/in/jimenezlauren,5366,197.94,127.32
Wyatt-Erickson,Retail,Donna Le,Joshua Henry,april95@tran.net,https://www.linkedin.com/in/brandon51,245,252.4,365.38
Collins-Conner,Manufacturing,Joshua Pierce,Desiree Reese,qbaker@williams.com,https://www.linkedin.com/in/pamela67,1488,213.01,115.29
"Snow, Carter and Robinson",Manufacturing,Cameron Evans,Sherry Fuller,lwilliams@williams.com,https://www.linkedin.com/in/williamjones,3749,368.97,420.93
Davis Inc,Automotive,Michele Chapman,Rachel Perez,jessicahunter@johnson-patterson.info,https://www.linkedin.com/in/johnmarshall,8269,121.23,145.41
Smith PLC,Manufacturing,Christine Warren,Lori Goodman,michellemorgan@moore-hayes.info,https://www.linkedin.com/in/xryan,2008,265.75,222.23
"Lin, Hale and Davis",Healthcare,Cheryl Johnston,Shawn Mccarthy,katherineorr@edwards.com,https://www.linkedin.com/in/jason20,7392,366.76,280.61
Contreras-Guerra,Automotive,Melinda Gomez DDS,Curtis Ray,jacquelinewiggins@owen.org,https://www.linkedin.com/in/hullkimberly,23,313.1,229.58
Stewart and Sons,Education,Brandon Burns,Joseph Donovan MD,rebeccacarter@lewis.com,https://www.linkedin.com/in/elizabethphillips,7276,220.3,112.65
Mcintosh-Nichols,Artificial Intelligence,Katelyn Powers,James Hamilton,smithpaul@johnson.com,https://www.linkedin.com/in/mramirez,2974,280.66,277.03
"White, Gomez and Cervantes",Education,Mr. Geoffrey Bell,Lisa Petersen,michelle91@mendez.com,https://www.linkedin.com/in/richardspaula,9561,456.59,264.66
Hale Ltd,Administration,Kelly Thompson,Kevin Martinez,dnewman@stanley-hester.com,https://www.linkedin.com/in/leslie66,1831,119.3,75.29
"Phillips, Moss and Williamson",Education,Drew Kennedy,Lauren Miller,froberts@smith-dawson.com,https://www.linkedin.com/in/hwaters,7501,173.07,102.46
Dominguez-Garrett,Artificial Intelligence,Angela Nichols,Jordan Diaz,greenashley@cross.com,https://www.linkedin.com/in/julie53,548,47.59,32.82
Jacobs Ltd,Automotive,Richard Kaufman,Kimberly Williams,vlandry@johnston.net,https://www.linkedin.com/in/uperkins,4273,108.9,135.56
Castro-Watson,Artificial Intelligence,Kylie Ochoa,Peter Brown,valenciajames@harris-pugh.com,https://www.linkedin.com/in/dmoore,6584,191.49,103.43
"Ross, White and Smith",Administration,Mario Ray,Makayla Pearson,amanda96@greene.net,https://www.linkedin.com/in/cynthialee,3232,492.83,377.39
Mcknight-Scott,Artificial Intelligence,Jeffrey Garcia,Dr. Whitney Parsons,mooretyler@butler-jones.com,https://www.linkedin.com/in/gateserik,6776,49.69,25.8
Williams-Giles,Manufacturing,Omar Acosta,Amy Blair,kristen47@mitchell.biz,https://www.linkedin.com/in/lroberts,652,255.99,333.32
"Collins, Weeks and Crawford",Automotive,Daisy Hughes MD,Tammy Johnson,tbrown@bautista-calhoun.info,https://www.linkedin.com/in/efuller,2529,227.35,212.45
Jones-Pitts,Administration,Megan Fisher,Ryan Williams,kevin99@bass-guzman.com,https://www.linkedin.com/in/sierrafuller,4713,259.42,305.09
"Wood, Peters and Reynolds",Manufacturing,Roger Oconnor,Jessica Wallace,rowens@williams.com,https://www.linkedin.com/in/tiffanywilliams,4664,453.61,381.32
Williams-Jones,Healthcare,Dwayne Harris,Cindy Williams,blanchardlaura@walker.com,https://www.linkedin.com/in/cherylmontoya,948,183.91,171.68
Stein-Daniel,Information Technology,Vanessa Hicks,Taylor Todd,fsmith@smith.com,https://www.linkedin.com/in/colemanamy,1233,485.37,443.54
Chapman-Little,Human Resources,Jason Powers,Keith Weaver,marilynbrown@simpson.com,https://www.linkedin.com/in/dhall,7408,312.66,293.27
Hernandez-Nunez,Information Technology,Elaine Arellano,Thomas Miles,grossmichael@cooper.biz,https://www.linkedin.com/in/rivasalicia,7220,55.66,66.5
Cobb Group,Manufacturing,Danielle King,Ronald Best,hayesmaria@lewis.info,https://www.linkedin.com/in/hernandezandrew,5811,235.47,341.06
Whitney and Sons,Information Technology,Gary Hamilton,Anna Mcknight,kgreen@haynes.net,https://www.linkedin.com/in/asmith,5042,310.19,396.37
Taylor-Kirk,Education,Robert Chapman,Jennifer Pope,julie56@duffy-boyd.com,https://www.linkedin.com/in/zhodges,5696,396.16,207.51
Savage and Sons,Manufacturing,Jessica Park,Debbie Kemp,david19@chapman.com,https://www.linkedin.com/in/pottsmichael,3022,217.83,214.72
"Williams, Perez and Cummings",Human Resources,Jose Black,Keith Fletcher,howellcrystal@smith.net,https://www.linkedin.com/in/ayoung,904,134.17,78.77
Fields Group,Administration,Ashley Dean,Leslie Russell,smithjohn@peck-costa.com,https://www.linkedin.com/in/misty20,6892,240.95,156.92
Reese-Tran,Human Resources,Kyle Harris,Joseph Gonzalez,nicolepeck@liu.com,https://www.linkedin.com/in/emily06,3169,134.25,130.74
Cline-Bryant,Finance,Sarah Estrada,Robert Navarro,kryan@ramirez.net,https://www.linkedin.com/in/dustinsanders,5163,198.57,223.54
"Hernandez, Bishop and Schultz",Human Resources,Michael Collins,Amy Reyes,kathy07@sanchez-reynolds.com,https://www.linkedin.com/in/mmontgomery,2604,365.46,325.26
"Mckinney, Mcdonald and Adams",Artificial Intelligence,Patrick Combs,Gary Perkins,ronaldharrison@reynolds-fletcher.info,https://www.linkedin.com/in/lisacross,5517,482.92,416.58
"Nelson, Terrell and Thompson",Automotive,Benjamin Robinson,John Burton,crystal73@moore.com,https://www.linkedin.com/in/curtislisa,6997,422.51,447.43
Martinez-Scott,Human Resources,Michael Oconnor,Whitney Johnson,raymonddavis@le.com,https://www.linkedin.com/in/ellen68,5144,435.05,346.18
Macias Ltd,Manufacturing,William Morrison,Kyle Manning,william20@morgan.com,https://www.linkedin.com/in/stanley17,205,219.11,114.16
Bennett Inc,Information Technology,Mary Costa,Wendy Dominguez,garciajerry@mclean-rogers.org,https://www.linkedin.com/in/tiffanystevenson,5203,65.44,76.56
Smith-Cantrell,Education,Teresa Turner,Gary Brown,wuglen@rojas.com,https://www.linkedin.com/in/mcguiredennis,1697,247.76,300.05
Flores PLC,Automotive,Katherine Gross,Teresa Hawkins,parmstrong@lang.org,https://www.linkedin.com/in/lisaallen,8771,30.01,30.37
Stewart PLC,Information Technology,Scott Garza,Robert Mcdonald,agarcia@wagner.org,https://www.linkedin.com/in/james26,1189,359.45,485.56
